secondary_diagnosis_id,secondary_diagnosis_code,secondary_diagnosis_desc
1,Dfdde1a,Office role enter her scientist government.
2,D61fdbd,Her who line enter teach.
3,Dc81675,Soon reality daughter unit within recent.
4,D3195d1,Around friend suddenly town lay.
5,D18054b,Local could soldier throughout.
6,Dfba3d9,Five these them town.
7,D9ec62f,Paper scene final glass two.
8,D82c409,Across face different step major doctor.
9,D6f436c,Tough me eat against woman somebody.
10,D6e9530,With international alone hour perhaps exist.
